Time+F36B1A1:FA1:B1425,Concentration
05/22/26 12:08:36.364,87700
05/22/26 12:08:43.329,87100
05/22/26 12:08:50.225,87200
05/22/26 12:08:57.173,87500
05/22/26 12:09:04.088,87500
05/22/26 12:09:11.026,88200
05/22/26 12:09:17.986,88200
05/22/26 12:09:24.928,87900
05/22/26 12:09:31.768,87900
05/22/26 12:09:38.688,88200
05/22/26 12:09:45.707,88000
05/22/26 12:09:52.626,88500
05/22/26 12:09:59.516,88700
05/22/26 12:10:06.471,89000
05/22/26 12:10:13.490,88500
05/22/26 12:10:20.418,88200
05/22/26 12:10:27.394,88500
05/22/26 12:10:34.425,88200
05/22/26 12:10:41.318,88700
05/22/26 12:10:48.390,88500
05/22/26 12:10:55.422,88700
05/22/26 12:11:02.420,88700
05/22/26 12:11:09.406,88700
05/22/26 12:11:16.443,88800
05/22/26 12:11:23.438,89500
05/22/26 12:11:30.403,89000
05/22/26 12:11:37.423,88800
05/22/26 12:11:44.457,89000
05/22/26 12:11:51.404,88700
05/22/26 12:11:58.410,88700
05/22/26 12:12:05.465,89400
05/22/26 12:12:12.441,89500
05/22/26 12:12:19.543,89400
05/22/26 12:12:26.626,89000
05/22/26 12:12:33.669,88800
05/22/26 12:12:40.705,88800
05/22/26 12:12:47.801,88400
05/22/26 12:12:54.832,89000
05/22/26 12:13:01.804,89400
05/22/26 12:13:08.869,89000
05/22/26 12:13:15.971,88700
05/22/26 12:13:23.069,89400
05/22/26 12:13:30.119,88800
05/22/26 12:13:37.219,88800
05/22/26 12:13:44.257,89000
05/22/26 12:13:51.351,89200
05/22/26 12:13:58.407,89700
05/22/26 12:14:05.548,89500
05/22/26 12:14:12.696,89500
05/22/26 12:14:19.779,89900
05/22/26 12:14:26.874,89700
05/22/26 12:14:33.933,90100
05/22/26 12:14:40.925,89500
05/22/26 12:14:48.045,89400
05/22/26 12:14:55.197,89500
05/22/26 12:15:02.310,89500
05/22/26 12:15:09.382,90200
05/22/26 12:15:16.484,90200
05/22/26 12:15:23.549,89700
05/22/26 12:15:30.658,89400
05/22/26 12:15:37.850,89200
05/22/26 12:15:44.929,89900
05/22/26 12:15:52.019,89900
05/22/26 12:15:59.203,89700
05/22/26 12:16:06.357,89400
05/22/26 12:16:13.503,89500
05/22/26 12:16:20.584,89000
05/22/26 12:16:27.724,89500
05/22/26 12:16:34.962,89900
05/22/26 12:16:42.126,89700
05/22/26 12:16:49.278,89700
05/22/26 12:16:56.473,89900
05/22/26 12:17:03.637,89500
05/22/26 12:17:10.831,90200
05/22/26 12:17:18.018,90600
05/22/26 12:17:25.172,90900
05/22/26 12:17:32.374,90400
05/22/26 12:17:39.548,89900
05/22/26 12:17:46.755,90600
05/22/26 12:17:54.068,89500
05/22/26 12:18:01.179,90200
05/22/26 12:18:08.338,90100
05/22/26 12:18:15.573,90200
05/22/26 12:18:22.748,91100
05/22/26 12:18:29.964,91300
05/22/26 12:18:37.130,91100
05/22/26 12:18:44.350,90400
05/22/26 12:18:51.544,90600
05/22/26 12:18:58.737,91300
05/22/26 12:19:05.961,90600
05/22/26 12:19:13.160,90600
05/22/26 12:19:20.398,90600
05/22/26 12:19:27.645,90800
05/22/26 12:19:34.781,91100
05/22/26 12:19:42.087,90600
05/22/26 12:19:49.308,91100
05/22/26 12:19:56.611,91100
05/22/26 12:20:03.779,91600
05/22/26 12:20:11.076,91500
05/22/26 12:20:18.398,91500
05/22/26 12:20:25.660,91500
05/22/26 12:20:32.846,91600
05/22/26 12:20:40.203,91100
05/22/26 12:20:47.434,90900
05/22/26 12:20:54.720,90400
05/22/26 12:21:02.017,91600
05/22/26 12:21:09.266,92000
05/22/26 12:21:16.661,91600
05/22/26 12:21:23.971,91600
05/22/26 12:21:31.318,91800
05/22/26 12:21:38.566,91600
05/22/26 12:21:45.884,91800
05/22/26 12:21:53.156,91600
05/22/26 12:22:00.427,91500
05/22/26 12:22:07.773,92000
05/22/26 12:22:15.074,91300
05/22/26 12:22:22.370,91100
05/22/26 12:22:29.709,91600
05/22/26 12:22:37.009,91600
05/22/26 12:22:44.307,91800
05/22/26 12:22:51.708,91600
05/22/26 12:22:59.121,92200
05/22/26 12:23:06.442,91500
05/22/26 12:23:13.829,91500
05/22/26 12:23:21.248,91800
05/22/26 12:23:28.565,91500
05/22/26 12:23:35.916,91500
05/22/26 12:23:43.281,91300
